Sample ID,Stock,June UBO,August UBO,June Mite,August Mite,RPS5 (Cq),DWV-ACopies/ul,DWV-BCopies/ul,LSVCopies/ul,SBVCopies/ul,BQCVCopies/ul,IAPVCopies/ul
GB-6A,Unselected,26.7,9.1,0,1.19,20.67,67609,72885,1152313,1890491,24230643,399884
GB-7A,Unselected,10.3,24,0,0.77,24.233,13225293,3498713,9594297,6454,12421423,3079036
GB-10B,Unselected,0,35.4,0.44,2.92,21.195,3341497,6463995,130372,18550779,782998,0
GB-11B,Unselected,0,3.3,0,0.71,20.66,2119928,1177085237,937523,147532,197534773,2947213
GB-12B,Unselected,32.4,40,0.29,1.46,22.486,644541,91,1264855,5133082,9346783,119
GB-15B,Unselected,40,NA,0,1.89,23.216,0,241,316606,7367874,94725,1782550
GB-17C,Unselected,53.7,85.3,0,0,20.543,0,0,47601,946,3353,891
GB-20C,Unselected,10.8,0,0,0.35,22.356,1327500,75153,105817860,61245,1552503,29302937
GB-22C,Unselected,40.4,9.3,0.48,0.48,24.418,0,0,107004,5726,3677,218
GB-24C,Unselected,9.8,5.1,0.25,0.26,21.917,0,267,385747,45077,11274,11659
GB-H2,MN HYG,100,92.3,0,0.8,23.373,53153,0,0,74050,631956,32
GB-P1,POL,95.2,71,0.26,0.52,22.86,0,0,1115292,1940143,20320000,0
GB-P2,POL,98,63.3,0,0.29,21.674,0,0,0,97292,339640,0
GB-P3,POL,100,56.8,0,0,23.809,0,0,0,84235,64218,0
GB-P5,POL,43.9,8.3,0.33,1,29.683,0,0,4420,17,0,0
GB-P6,POL,58.8,16.7,0.37,0,21.785,25,116,45380,106533,132733,0
GB-P19,POL,60,42.1,0,0,24.509,0,0,0,10375942,17419578,0
GB-P20,POL,43.9,32.4,0,1.72,22.416,2511,175,1633334,119990,21338180,0
GB-R1,Russian,40,0,1.19,0,21.858,61,7799,27453806,3429265,670633853,53
GB-R3,Russian,26.3,13.3,0,0,23.479,63,0,17146482,58018,8714194,0
GB-R5,Russian,46.5,21.4,0.45,0,24.458,0,106,1016866,218321,365783,0
